trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
819,False,"{'a': 0.5, 'e': 0.44069168580106255}",30,0,51.905570680305516,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
820,False,"{'a': 0.5, 'e': 0.4402509941152615}",20,10,17.236194534143845,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.5, 'e': 0.4398107431211462}",20,0,32.19860121812268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.5, 'e': 0.4393709323780251}",20,12,14.369015425893458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.43893156144564704}",30,19,20.240290869012668,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.5, 'e': 0.4384926298842014}",25,19,10.971136215112676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.5, 'e': 0.4380541372543172}",25,2,28.51529021941664,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.5, 'e': 0.4376160831170629}",25,11,30.52912231320257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.5, 'e': 0.4371784670339458}",30,1,37.51467488942486,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,False,"{'a': 0.5, 'e': 0.43674128856691186}",25,18,13.837350733415363,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.5, 'e': 0.43630454727834495}",20,13,13.422874231300458,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.5, 'e': 0.4358682427310666}",30,22,11.497309337513913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
